क्रमाङ्क,पदाः
51,"['कथम्', 'भीष्मम्', 'अहम्', 'सङ्ख्ये', 'द्रोणम्', 'च', 'मधुसूदन', '।', 'इषुभिस्', 'प्रतियोत्स्यामि', 'पूजार्हौ', 'अरिसूदन', '॥']"
52,"['गुरून्', 'अहत्वा', 'हि', 'महानुभावान्', 'श्रेयस्', 'भोक्तुम्', 'भैक्ष्यम्', 'अपि', 'इह', 'लोके', '।', 'हत्वार्थकामान्', 'तु', 'गुरून्', 'इह', 'एव', 'भुञ्जीय', 'भोगान्', 'रुधिरप्रदिग्धान्', '॥']"
53,"['न', 'च', 'एतत्', 'विद्मस्', 'कतरत्', 'नस्', 'गरीयस्', 'यत्', 'वा', 'जयेम', 'यदि', 'वा', 'नस्', 'जयेयुस्', '।', 'यान्', 'एव', 'हत्वा', 'न', 'जिजीविषामस्', 'ते', 'अवस्थितास्', 'प्रमुखे', 'धार्तराष्ट्रास्', '॥']"
54,"['कार्पण्यदोषोपहतस्वभावस्', 'पृच्छामि', 'त्वाम्', 'धर्मसम्मूढचेतास्', '।', 'यत्', 'श्रेयस्', 'स्यात्', 'निश्चितम्', 'ब्रूहि', 'तत्', 'मे', 'शिष्यस्', 'ते', 'अहम्', 'शाधि', 'माम्', 'त्वाम्', 'प्रपन्नम्', '॥']"
55,"['न', 'हि', 'प्रपश्यामि', 'मम', 'अपनुद्यात्', 'यत्', 'शोकम्', 'उच्छोषणम्', 'इन्द्रियाणाम्', '।', 'अवाप्य', 'भूमौ', 'असपत्नम्', 'ऋद्धम्', 'राज्यम्', 'सुराणाम्', 'अपि', 'च', 'आधिपत्यम्', '॥']"
56,"['एवम्', 'उक्त्वा', 'हृषीकेशम्', 'गुडाकेशस्', 'परन्तप', '।', 'न', 'योत्स्ये', 'इति', 'गोविन्दम्', 'उक्त्वा', 'तूष्णीम्', 'बभूव', 'ह', '॥']"
57,"['तम्', 'उवाच', 'हृषीकेशस्', 'प्रहसन्', 'इव', 'भारत', '।', 'सेनयोस्', 'उभयोस्', 'मध्ये', 'विषीदन्तम्', 'इदम्', 'वचस्', '॥']"
58,"['अशोच्यान्', 'अन्वशोचस्', 'त्वम्', 'प्रज्ञावादान्', 'च', 'भाषसे', '।', 'गतासून्', 'अगतासून्', 'च', 'न', 'अनुशोचन्ति', 'पण्डितास्', '॥']"
59,"['न', 'तु', 'एव', 'अहम्', 'जातु', 'न', 'आसम्', 'न', 'त्वम्', 'न', 'इमे', 'जनाधिपास्', '।', 'न', 'च', 'एव', 'न', 'भविष्यामस्', 'सर्वे', 'वयम्', 'अतस्', 'परम्', '॥']"
60,"['देहिनस्', 'अस्मिन्', 'यथा', 'देहे', 'कौमारम्', 'यौवनम्', 'जरा', '।', 'तथा', 'देहान्तरप्राप्तिस्', 'धीरस्', 'तत्र', 'न', 'मुह्यति', '॥']"
61,"['मात्रास्पर्शास्', 'तु', 'कौन्तेय', 'शीतोष्णसुखदुःखदास्', '।', 'आगमापायिनस्', 'अनित्यास्', 'तान्', 'तितिक्षस्व', 'भारत', '॥']"
62,"['यम्', 'हि', 'न', 'व्यथयन्ति', 'एते', 'पुरुषम्', 'पुरुषर्षभ', '।', 'समदुःखसुखम्', 'धीरम्', 'सस्', 'अमृतत्वाय', 'कल्पते', '॥']"
63,"['न', 'असतस्', 'विद्यते', 'भावस्', 'न', 'अभावस्', 'विद्यते', 'सतस्', '।', 'उभयोस्', 'अपि', 'दृष्टस्', 'अन्तस्', 'तु', 'अनयोस्', 'तत्त्वदर्शिभिस्', '॥']"
64,"['अविनाशि', 'तु', 'तत्', 'विद्धि', 'येन', 'सर्वम्', 'इदम्', 'ततम्', '।', 'विनाशम्', 'अव्ययस्य', 'अस्य', 'न', 'कश्चित्', 'कर्तुम्', 'अर्हति', '॥']"
65,"['अन्तवन्तस्', 'इमे', 'देहास्', 'नित्यस्य', 'उक्तास्', 'शरीरिणस्', '।', 'अनाशिनस्', 'अप्रमेयस्य', 'तस्मात्', 'युध्यस्व', 'भारत', '॥']"
